Location,Neighborhood,Latitude,Longitude,Total Population,Persons per Square Mile,Median Household Income (USD),Median Housing Value (USD),,,
East,Second Ward,29.751117,-95.32394,12343.00,4280.00,46054.00,156394.00,,,
Northeast,Settegast,29.841607,-95.284383,3015.00,1509.00,25003.00,35917.00,,,
Southwest,Sharpstown,29.705177,-95.521286,78354.00,9178.00,34448.00,121478.00,,,
South,South Acres / Crestmont Park,29.62764,-95.355623,20528.00,3039.00,31560.00,77322.00,,,
Southeast,South Belt / Ellington,29.601535,-95.216067,66118.00,3183.00,60278.00,132337.00,,,
South,South Main,29.672571,-95.420134,6150.00,2198.00,47315.00,141707.00,,,
South,South Park,29.666327,-95.33721,22687.00,5187.00,33713.00,60782.00,,,
Northwest,Spring Branch Central,29.811081,-95.509581,28573.00,7644.00,45182.00,205619.00,,,
Northwest,Spring Branch East,29.802855,-95.475499,27250.00,4458.00,52486.00,292195.00,,,
Northwest,Spring Branch North,29.822703,-95.545255,20182.00,5976.00,58424.00,204541.00,,,
West,Spring Branch West,29.790847,-95.54463,32006.00,3896.00,58305.00,205709.00,,,
South,Sunnyside,29.664123,-95.367999,22299.00,3513.00,27102.00,69593.00,,,
Northeast,Trinity / Houston Gardens,29.831376,-95.302031,16399.00,2388.00,30431.00,65428.00,,,
Southwest,University Place,29.71856,-95.408937,16408.00,5936.00,125030.00,699431.00,,,
West,Washington Avenue Coalition / Memorial Park,29.77707,-95.435493,31469.00,3926.00,120572.00,391242.00,,,
West,Westbranch,29.838246,-95.552019,3722.00,2696.00,52740.00,121336.00,,,
Southwest,Westbury,29.653609,-95.480413,21013.00,5678.00,65604.00,217470.00,,,
West,Westchase,29.727756,-95.571662,33641.00,7784.00,50044.00,277291.00,,,
Southwest,Westwood,29.675326,-95.550221,21996.00,10080.00,29901.00,72735.00,,,
Southwest,Willow Meadows / Willowbend,29.6733,-95.439883,14298.00,4478.00,74740.00,276157.00,,,
Northwest,Willowbrook,29.95586,-95.545979,8814.00,2919.00,50366.00,158539.00,,,
